season,week,contestant_id,celebrity_name,ballroom_partner,J_total,p_hat,V_hat,judge_share,fan_judge_gap,momentum,popularity_score,eliminated,uncertainty_width
31,4,369,Daniel Durant,Britt Stewart,29.0,0.01189963491109178,118996.3491109178,0.07073170731707316,-0.05883207240598139,-0.041451333379517404,-3.055876890330225,0,0.05172002326094842
31,4,370,Wayne Brady,Witney Carson,36.0,0.23901055637918697,2390105.5637918697,0.08780487804878048,0.1512056783304065,-9.189510078885799e-05,-1.8918768903302257,0,8.326672684688674e-17
31,4,371,Sam Champion,Cheryl Burke,25.0,0.0009767815153018668,9767.815153018668,0.06097560975609756,-0.05999882824079569,-0.0016794067904744331,-4.921876890330226,1,0.01864239967618098
31,4,372,Jessie James Decker,Alan Bersten,31.0,0.00437763104123663,43776.3104123663,0.07560975609756097,-0.07123212505632434,0.0027665713958131485,-5.250376890330226,0,0.025642458760130084
31,4,373,Jordin Sparks,Brandon Armstrong,34.0,0.032346561344117654,323465.61344117654,0.08292682926829269,-0.05058026792417503,0.02044235124536023,-3.684376890330226,0,0.08449679385241347
31,4,374,Heidi D'Amelio,Artem Chigvintsev,34.0,0.05333046372205331,533304.6372205331,0.08292682926829269,-0.02959636554623938,0.020971465728442343,-3.5628768903302253,0,0.08354943887361418
31,4,375,Charli D'Amelio,Mark Ballas,36.0,0.39406178822423776,3940617.882242378,0.08780487804878048,0.3062569101754573,-0.00015150940734370844,-1.5633768903302256,0,1.1102230246251565e-16
31,4,377,Vinny Guadagnino,Koko Iwasaki,29.0,0.0016104404611048907,16104.404611048907,0.07073170731707316,-0.06912126685596827,0.001017764739052638,-5.875876890330225,0,0.03136977982881579
31,4,378,Shangela,Gleb Savchenko,32.0,0.08792706991485082,879270.6991485081,0.07804878048780488,0.009878289427045939,-3.3806318324600126e-05,-2.548876890330226,0,0.07255363917758306
31,4,379,Gabby Windey,Valentin Chmerkovskiy,36.0,0.14496723043895182,1449672.3043895182,0.08780487804878048,0.05716235239017134,-5.5737196105798414e-05,-2.2203768903302255,0,2.7755575615628914e-17
31,5,366,Selma Blair,Sasha Farber,40.0,0.03237818775942003,323781.8775942003,0.08918617614269789,-0.05680798838327786,0.012739824177399488,-3.4035380909537993,0,0.04994897689695715
31,5,367,Joseph Baena,Daniella Karagach,35.0,0.007224550220075321,72245.50220075321,0.07803790412486064,-0.07081335390478533,0.0,-4.4868380909538,1,0.010299254571473694
31,5,368,Trevor Donovan,Emma Slater,36.0,0.0026577634976763295,26577.634976763293,0.0802675585284281,-0.07760979503075177,0.0,-4.869788090953799,0,0.030766172711814248
31,5,369,Daniel Durant,Britt Stewart,33.5,0.011911269619079474,119112.69619079474,0.07469342251950947,-0.06278215290043,0.0,-3.4684880909537994,0,0.030766172711814248
31,5,370,Wayne Brady,Witney Carson,41.0,0.2392442457360643,2392442.457360643,0.09141583054626533,0.14782841518979895,-2.7755575615628914e-17,-1.7536880909537997,0,5.551115123125783e-17
31,5,372,Jessie James Decker,Alan Bersten,36.0,0.004381911211109335,43819.11211109335,0.0802675585284281,-0.07588564731731876,-8.673617379884035e-19,-5.3046380909538,0,0.01802634853441476
31,5,373,Jordin Sparks,Brandon Armstrong,35.5,0.019638363582020542,196383.6358202054,0.07915273132664437,-0.059514367744623826,-0.012739824177399488,-3.6084380909537996,0,0.050724843368001996
31,5,374,Heidi D'Amelio,Artem Chigvintsev,39.0,0.05338260686567833,533826.0686567833,0.08695652173913043,-0.033573914873452106,0.0,-3.3733880909537994,0,0.07867946547523937
31,5,375,Charli D'Amelio,Mark Ballas,42.0,0.3944470768376576,3944470.7683765762,0.09364548494983277,0.30080159188782485,-5.551115123125783e-17,-1.3737380909537997,0,1.1102230246251565e-16
31,5,377,Vinny Guadagnino,Koko Iwasaki,31.0,0.0016120150476057805,16120.150476057805,0.06911928651059086,-0.06750727146298509,0.0,-6.042488090953799,0,0.030766172711814248
